,h,b,s,r1,r2,a,j,j
60x40x4.5,6,4,0.45,0.45,0.9,7.67,33.28,17.37
60x40x5,6,4,0.5,0.5,1,8.36,35.29,18.34
60x40x5.5,6,4,0.55,0.55,1.1,9.01,37.05,19.26
60x40x6,6,4,0.6,0.6,1.2,9.63,38.50,19.95
70x50x2,7,5,0.2,0.2,0.4,4.54,31.47,18.75
70x50x2.5,7,5,0.25,0.25,0.5,5.59,38,22.57
70x50x3,7,5,0.3,0.3,0.6,6.61,44.03,26.08
70x50x3.5,7,5,0.35,0.35,0.7,7.59,49.57,29.27
70x50x4,7,5,0.4,0.4,0.8,8.55,54.64,32.16
70x50x4.5,7,5,0.45,0.45,0.9,9.47,59.24,34.77
70x50x5,7,5,0.5,0.5,1,10.36,63.4,37.1
70x50x5.5,7,5,0.55,0.55,1.1,11.21,67.12,39.17
70x50x6,7,5,0.6,0.6,1.2,12.03,70.43,40.98
80x40x2,8,4,0.2,0.2,0.4,4.54,37.35,12.71
80x40x2.5,8,4,0.25,0.25,0.5,5.59,45.1,15.24
80x40x3,8,4,0.3,0.3,0.6,6.61,52.24,17.52
