,h,b,s,t,r1,r2,r3,a,,,
Шв. гн.120x60x4,12,6,0.4,0.4,0.6,0,1,0,9,198.65,31.91
Шв. гн.120x60x5,12,6,0.5,0.5,0.7,0,1.2,0,11.09,239.63,38.73
Шв. гн.120x60x6,12,6,0.6,0.6,0.9,0,1.5,0,13.06,275.47,44.95
Шв. гн.120x70x5,12,7,0.5,0.5,0.7,0,1.2,0,12.09,272.71,59.56
Шв. гн.120x80x4,12,8,0.4,0.4,0.6,0,1,0,10.6,252.49,70.65
Шв. гн.120x80x5,12,8,0.5,0.5,0.7,0,1.2,0,13.09,305.8,86.2
Шв. гн.140x40x2.5,14,4,0.25,0.25,0.3,0,0.55,0,5.28,141.38,7.04
Шв. гн.140x40x3,14,4,0.3,0.3,0.5,0,0.8,0,6.25,164.66,8.26
Шв. гн.140x60x3,14,6,0.3,0.3,0.5,0,0.8,0,7.45,220.97,25.89
Шв. гн.140x60x5,14,6,0.5,0.5,0.7,0,1.2,0,12.09,345.47,40.8
Шв. гн.140x60x6,14,6,0.6,0.6,0.9,0,1.5,0,14.26,398.68,47.46
Шв. гн.140x70x5,14,7,0.5,0.5,0.7,0,1.2,0,13.09,391.05,62.87
Шв. гн.140x80x4,14,8,0.4,0.4,0.6,0,1,0,11.4,359.42,74.59
Шв. гн.140x80x5,14,8,0.5,0.5,0.7,0,1.2,0,14.09,436.63,91.13
Шв. гн.145x65x3,14.5,6.5,0.3,0.3,0.5,0,0.8,0,7.9,255.04,32.69
Шв. гн.148x25x4,14.8,2.5,0.4,0.4,0.6,0,1,0,7.32,180.34,2.7
Шв. гн.160x40x2,16,4,0.2,0.2,0.3,0,0.5,0,4.65,158.77,5.93
Шв. гн.160x40x3,16,4,0.3,0.3,0.5,0,0.8,0,6.85,228.59,8.56
Шв. гн.160x40x5,16,4,0.5,0.5,0.7,0,1.2,0,11.09,355.32,13.23
Шв. гн.160x50x2.5,16,5,0.25,0.25,0.4,0,0.65,0,6.26,225.47,13.68
Шв. гн.160x50x4,16,5,0.4,0.4,0.6,0,1,0,9.81,343.12,20.87
Шв. гн.160x50x5,16,5,0.5,0.5,0.7,0,1.2,0,12.09,415.41,25.29
Шв. гн.160x50x6,16,5,0.6,0.6,0.9,0,1.5,0,14.26,479.22,29.35
Шв. гн.160x60x2.5,16,6,0.25,0.25,0.4,0,0.65,0,6.76,256.48,22.79
Шв. гн.160x60x3,16,6,0.3,0.3,0.5,0,0.8,0,8.05,302.54,26.95
Шв. гн.160x60x4,16,6,0.4,0.4,0.6,0,1,0,10.6,391.8,34.98
Шв. гн.160x60x5,16,6,0.5,0.5,0.7,0,1.2,0,13.09,475.49,42.56
Шв. гн.160x60x6,16,6,0.6,0.6,0.9,0,1.5,0,15.46,550.41,49.68
Шв. гн.160x70x4,16,7,0.4,0.4,0.6,0,1,0,11.4,440.48,53.86
Шв. гн.160x80x2.5,16,8,0.25,0.25,0.3,0,0.55,0,7.78,319.89,50.52
Шв. гн.160x80x3,16,8,0.3,0.3,0.5,0,0.8,0,9.25,376.5,59.79
Шв. гн.160x80x4,16,8,0.4,0.4,0.6,0,1,0,12.2,489.16,78.01
Шв. гн.160x80x5,16,8,0.5,0.5,0.7,0,1.2,0,15.09,595.66,95.4
Шв. гн.160x80x6,16,8,0.6,0.6,0.9,0,1.5,0,17.86,692.78,111.72
Шв. гн.160x100x3,16,10,0.3,0.3,0.5,0,0.8,0,10.45,452.12,110.04
Шв. гн.160x100x6,16,10,0.6,0.6,0.9,0,1.5,0,20.26,835.14,207.59
Шв. гн.160x120x5,16,12,0.5,0.5,0.7,0,1.2,0,19.09,836.99,291.01
Шв. гн.160x120x6,16,12,0.6,0.6,0.9,0,1.5,0,22.66,977.51,342.63
Шв. гн.160x160x6,16,16,0.6,0.6,0.9,0,1.5,0,27.46,1262.25,750.85
Шв. гн.170x60x4,17,6,0.4,0.4,0.6,0,1,0,11,452.84,35.61
Шв. гн.170x70x5,17,7,0.5,0.5,0.7,0,1.2,0,14.59,618.28,66.99
Шв. гн.170x70x6,17,7,0.6,0.6,0.9,0,1.5,0,17.26,718.44,78.32
Шв. гн.180x40x3,18,4,0.3,0.3,0.5,0,0.8,0,7.45,306.23,8.79
Шв. гн.180x40x4,18,4,0.4,0.4,0.6,0,1,0,9.81,395.47,11.3
Шв. гн.180x50x4,18,5,0.4,0.4,0.6,0,1,0,10.6,457.43,21.53
Шв. гн.180x70x6,18,7,0.6,0.6,0.9,0,1.5,0,17.85,823.93,79.76
Шв. гн.180x80x4,18,8,0.4,0.4,0.6,0,1,0,13,643.32,81.01
Шв. гн.180x80x5,18,8,0.5,0.5,0.7,0,1.2,0,16.09,784.86,99.15
Шв. гн.180x80x6,18,8,0.6,0.6,0.9,0,1.5,0,19.08,914.79,116.23
Шв. гн.180x100x5,18,10,0.5,0.5,0.7,0,1.2,0,18.09,936.03,184.04
Шв. гн.180x100x6,18,10,0.6,0.6,0.9,0,1.5,0,21.46,1096.52,216.45
Шв. гн.180x130x8,18,13,0.8,0.8,1.2,0,2,0,32.82,1746.62,574.59
Шв. гн.185x100x3,18.5,10,0.3,0.3,0.5,0,0.8,0,11.2,626.06,115.48
Шв. гн.200x50x3,20,5,0.3,0.3,0.5,0,0.8,0,8.65,456.99,17.09
Шв. гн.200x50x4,20,5,0.4,0.4,0.6,0,1,0,11.41,592.95,22.11
