,r1,r2,a,jx,jy
25x2.5,1.25,1.0000,1.77,1.13,1.13
25x2.8,1.25,0.97,1.95,1.22,1.22
25x3,1.25,0.95,2.07,1.28,1.28
25x3.5,1.25,0.9,2.36,1.40,1.40
25x4,1.25,0.85,2.64,1.51,1.51
25x4.5,1.25,0.8,2.90,1.60,1.60
25x5,1.25,0.75,3.14,1.67,1.67
25x5.5,1.25,0.7,3.37,1.73,1.73
25x6,1.25,0.65,3.58,1.78,1.78
25x6.5,1.25,0.6,3.78,1.82,1.82
25x7,1.25,0.55,3.96,1.85,1.85
25x7.5,1.25,0.5,4.12,1.87,1.87
25x8,1.25,0.45,4.27,1.89,1.89
28x2.5,1.4,1.15,2.00,1.64,1.64
28x2.8,1.4,1.12,2.22,1.78,1.78
28x3,1.4,1.1,2.36,1.87,1.87
28x3.5,1.4,1.05,2.69,2.06,2.06
28x4,1.4,1,3.02,2.23,2.23
28x4.5,1.4,0.95,3.32,2.38,2.38
28x5,1.4,0.9,3.61,2.50,2.50
28x5.5,1.4,0.85,3.89,2.61,2.61
28x6,1.4,0.8,4.15,2.70,2.70
28x6.5,1.4,0.75,4.39,2.77,2.77
28x7,1.4,0.7,4.62,2.83,2.83
28x7.5,1.4,0.65,4.83,2.88,2.88
28x8,1.4,0.6,5.03,2.92,2.92
32x2.5,1.6,1.35,2.32,2.54,2.54
32x2.8,1.6,1.32,2.57,2.76,2.76
32x3,1.6,1.3,2.73,2.90,2.90
32x3.5,1.6,1.25,3.13,3.23,3.23
32x4,1.6,1.2,3.52,3.52,3.52
32x4.5,1.6,1.15,3.89,3.77,3.77
32x5,1.6,1.1,4.24,4.00,4.00
32x5.5,1.6,1.05,4.58,4.19,4.19
32x6,1.6,1,4.90,4.36,4.36
32x6.5,1.6,0.95,5.21,4.51,4.51
32x7,1.6,0.9,5.50,4.63,4.63
32x7.5,1.6,0.85,5.77,4.74,4.74
32x8,1.6,0.8,6.03,4.83,4.83
38x2.5,1.9,1.65,2.79,4.41,4.41
38x2.8,1.9,1.62,3.10,4.83,4.83
38x3,1.9,1.6,3.30,5.09,5.09
38x3.5,1.9,1.55,3.79,5.70,5.70
38x4,1.9,1.5,4.27,6.26,6.26
38x4.5,1.9,1.45,4.74,6.76,6.76
38x5,1.9,1.4,5.18,7.22,7.22
38x5.5,1.9,1.35,5.62,7.63,7.63
38x6,1.9,1.3,6.03,7.99,7.99
38x6.5,1.9,1.25,6.43,8.32,8.32
38x7,1.9,1.2,6.82,8.61,8.61
38x7.5,1.9,1.15,7.19,8.86,8.86
38x8,1.9,1.1,7.54,9.09,9.09
42x2.5,2.1,1.85,3.10,6.07,6.07
42x2.8,2.1,1.82,3.45,6.66,6.66
42x3,2.1,1.8,3.68,7.03,7.03
42x3.5,2.1,1.75,4.23,7.91,7.91
42x4,2.1,1.7,4.78,8.71,8.71
42x4.5,2.1,1.65,5.30,9.45,9.45
42x5,2.1,1.6,5.81,10.13,10.13
42x5.5,2.1,1.55,6.31,10.74,10.74
42x6,2.1,1.5,6.79,11.30,11.30
42x6.5,2.1,1.45,7.25,11.80,11.80
42x7,2.1,1.4,7.70,12.26,12.26
42x7.5,2.1,1.35,8.13,12.67,12.67
42x8,2.1,1.3,8.55,13.03,13.03
42x8.5,2.1,1.25,8.95,13.36,13.36
42x9,2.1,1.2,9.33,13.65,13.65
42x9.5,2.1,1.15,9.70,13.90,13.90
42x10,2.1,1.1,10.05,14.12,14.12
45x2.5,2.25,2,3.34,7.56,7.56
45x2.8,2.25,1.97,3.71,8.30,8.30
45x3,2.25,1.95,3.96,8.77,8.77
45x3.5,2.25,1.9,4.56,9.89,9.89
45x4,2.25,1.85,5.15,10.93,10.93
45x4.5,2.25,1.8,5.73,11.88,11.88
45x5,2.25,1.75,6.28,12.76,12.76
45x5.5,2.25,1.7,6.83,13.57,13.57
45x6,2.25,1.65,7.35,14.31,14.31
45x6.5,2.25,1.6,7.86,14.98,14.98
45x7,2.25,1.55,8.36,15.60,15.60
45x7.5,2.25,1.5,8.84,16.15,16.15
45x8,2.25,1.45,9.30,16.66,16.66
45x8.5,2.25,1.4,9.75,17.11,17.11
45x9,2.25,1.35,10.18,17.52,17.52
45x9.5,2.25,1.3,10.60,17.89,17.89
45x10,2.25,1.25,11.00,18.21,18.21
50x2.5,2.5,2.25,3.73,10.55,10.55
50x2.8,2.5,2.22,4.15,11.60,11.60
50x3,2.5,2.2,4.43,12.28,12.28
50x3.5,2.5,2.15,5.11,13.90,13.90
50x4,2.5,2.1,5.78,15.41,15.41
50x4.5,2.5,2.05,6.43,16.81,16.81
50x5,2.5,2,7.07,18.11,18.11
50x5.5,2.5,1.95,7.69,19.32,19.32
50x6,2.5,1.9,8.29,20.44,20.44
50x6.5,2.5,1.85,8.88,21.48,21.48
50x7,2.5,1.8,9.46,22.43,22.43
50x7.5,2.5,1.75,10.01,23.31,23.31
50x8,2.5,1.7,10.56,24.12,24.12
50x8.5,2.5,1.65,11.08,24.86,24.86
50x9,2.5,1.6,11.59,25.53,25.53
50x9.5,2.5,1.55,12.09,26.15,26.15
50x10,2.5,1.5,12.57,26.70,26.70
54x3,2.7,2.4,4.81,15.68,15.68
54x3.5,2.7,2.35,5.55,17.79,17.79
54x4,2.7,2.3,6.28,19.76,19.76
54x4.5,2.7,2.25,7.00,21.61,21.61
54x5,2.7,2.2,7.70,23.34,23.34
54x5.5,2.7,2.15,8.38,24.96,24.96
54x6,2.7,2.1,9.05,26.46,26.46
54x6.5,2.7,2.05,9.70,27.87,27.87
54x7,2.7,2,10.34,29.17,29.17
54x7.5,2.7,1.95,10.96,30.38,30.38
54x8,2.7,1.9,11.56,31.50,31.50
54x8.5,2.7,1.85,12.15,32.54,32.54
54x9,2.7,1.8,12.72,33.49,33.49
54x9.5,2.7,1.75,13.28,34.37,34.37
54x10,2.7,1.7,13.82,35.18,35.18
54x11,2.7,1.6,14.86,36.59,36.59
57x3,2.85,2.55,5.09,18.61,18.61
57x3.5,2.85,2.5,5.88,21.14,21.14
57x4,2.85,2.45,6.66,23.52,23.52
57x4.5,2.85,2.4,7.42,25.76,25.76
57x5,2.85,2.35,8.17,27.86,27.86
57x5.5,2.85,2.3,8.90,29.84,29.84
57x6,2.85,2.25,9.61,31.69,31.69
57x6.5,2.85,2.2,10.31,33.42,33.42
57x7,2.85,2.15,11.00,35.03,35.03
57x7.5,2.85,2.1,11.66,36.54,36.54
57x8,2.85,2.05,12.32,37.95,37.95
57x8.5,2.85,2,12.95,39.25,39.25
57x9,2.85,1.95,13.57,40.46,40.46
57x9.5,2.85,1.9,14.18,41.58,41.58
57x10,2.85,1.85,14.77,42.62,42.62
57x11,2.85,1.75,15.90,44.45,44.45
57x12,2.85,1.65,16.96,46.00,46.00
57x13,2.85,1.55,17.97,47.28,47.28
60x3,3,2.7,5.37,21.88,21.88
60x3.5,3,2.65,6.21,24.88,24.88
60x4,3,2.6,7.04,27.73,27.73
60x4.5,3,2.55,7.85,30.41,30.41
60x5,3,2.5,8.64,32.94,32.94
60x5.5,3,2.45,9.42,35.32,35.32
60x6,3,2.4,10.18,37.56,37.56
60x6.5,3,2.35,10.92,39.66,39.66
60x7,3,2.3,11.66,41.64,41.64
60x7.5,3,2.25,12.37,43.49,43.49
60x8,3,2.2,13.07,45.22,45.22
60x8.5,3,2.15,13.75,46.84,46.84
60x9,3,2.1,14.42,48.34,48.34
60x9.5,3,2.05,15.07,49.75,49.75
60x10,3,2,15.71,51.05,51.05
60x11,3,1.9,16.93,53.38,53.38
60x12,3,1.8,18.10,55.37,55.37
60x13,3,1.7,19.20,57.06,57.06
60x14,3,1.6,20.23,58.47,58.47
63.5x3,3.175,2.875,5.70,26.15,26.15
63.5x3.5,3.175,2.825,6.60,29.79,29.79
63.5x4,3.175,2.775,7.48,33.24,33.24
63.5x4.5,3.175,2.725,8.34,36.50,36.50
63.5x5,3.175,2.675,9.19,39.60,39.60
63.5x5.5,3.175,2.625,10.02,42.52,42.52
63.5x6,3.175,2.575,10.84,45.28,45.28
63.5x6.5,3.175,2.525,11.64,47.89,47.89
63.5x7,3.175,2.475,12.42,50.34,50.34
63.5x7.5,3.175,2.425,13.19,52.65,52.65
63.5x8,3.175,2.375,13.95,54.82,54.82
63.5x8.5,3.175,2.325,14.69,56.86,56.86
63.5x9,3.175,2.275,15.41,58.77,58.77
63.5x9.5,3.175,2.225,16.12,60.56,60.56
63.5x10,3.175,2.175,16.81,62.24,62.24
63.5x11,3.175,2.075,18.14,65.25,65.25
63.5x12,3.175,1.975,19.42,67.86,67.86
63.5x13,3.175,1.875,20.62,70.10,70.10
63.5x14,3.175,1.775,21.77,72.02,72.02
68x3,3.4,3.1,6.13,32.42,32.42
68x3.5,3.4,3.05,7.09,36.99,36.99
68x4,3.4,3,8.04,41.34,41.34
68x4.5,3.4,2.95,8.98,45.47,45.47
68x5,3.4,2.9,9.90,49.41,49.41
68x5.5,3.4,2.85,10.80,53.14,53.14
68x6,3.4,2.8,11.69,56.68,56.68
68x6.5,3.4,2.75,12.56,60.04,60.04
68x7,3.4,2.7,13.41,63.22,63.22
68x7.5,3.4,2.65,14.25,66.22,66.22
