,h,b,s,t,r1,r2,r3,a,,,
Шв. гн. 180x80x4,18,8,0.4,0.4,1,0,1.4,0,12.87,631.9,80.37
Шв. гн. 180x80x5,18,8,0.5,0.5,1.2,0,1.7,0,15.88,766.99,98.11
Шв. гн. 180x80x6,18,8,0.6,0.6,1.4,0,2,0,18.8,893.23,114.93
Шв. гн. 180x80x8,18,8,0.8,0.8,2,0,2.8,0,24.27,1107.95,145.09
Шв. гн. 180x100x5,18,10,0.5,0.5,1.2,0,1.7,0,17.88,920.16,182.13
Шв. гн. 180x100x6,18,10,0.6,0.6,1.4,0,2,0,21.2,1074.96,214.06
Шв. гн. 180x130x8,18,13,0.8,0.8,2,0,2.8,0,32.27,1700.06,563.65
Шв. гн. 200x60x4,20,6,0.4,0.4,1,0,1.4,0,12.07,655.73,37
Шв. гн. 200x80x4,20,8,0.4,0.4,1,0,1.4,0,13.67,809.42,83.09
Шв. гн. 200x80x5,20,8,0.5,0.5,1.2,0,1.7,0,16.88,984.24,101.52
Шв. гн. 200x80x6,20,8,0.6,0.6,1.4,0,2,0,20,1148.38,119.05
Шв. гн. 200x100x5,20,10,0.5,0.5,1.2,0,1.7,0,18.88,1174.41,188.88
Шв. гн. 200x100x6,20,10,0.6,0.6,1.4,0,2,0,22.4,1374.27,222.2
Шв. гн. 200x160x8,20,16,0.8,0.8,2,0,2.8,0,38.67,2611.1,1040.1
Шв. гн. 205x38x2.5,20.5,3.8,0.25,0.25,0.6,0,0.85,0,6.74,345.1,6.6
Шв. гн. 206x75x6,20.6,7.5,0.6,0.6,1.4,0,2,0,19.76,1172.61,100.14
Шв. гн. 210x57x4,21,5.7,0.4,0.4,1,0,1.4,0,12.23,713.12,32.39
Шв. гн. 250x25x3,25,2.5,0.3,0.3,0.7,0,1,0,8.6,557.77,2.328
Шв. гн. 250x60x4,25,6,0.4,0.4,1,0,1.4,0,14.07,1134.22,39.18
Шв. гн. 250x60x5,25,6,0.5,0.5,1.2,0,1.7,0,17.38,1379.26,47.7
Шв. гн. 250x60x6,25,6,0.6,0.6,1.4,0,2,0,20.6,1609.27,55.77
Шв. гн. 250x90x8,25,9,0.8,0.8,2,0,2.8,0,31.47,2705.51,227.26
Шв. гн. 250x125x6,25,12.5,0.6,0.6,1.4,0,2,0,28.4,2770.46,444.78
Шв. гн. 270x100x7,27,10,0.7,0.7,1.8,0,2.5,0,30.63,3164.2,279.91
Шв. гн. 280x60x3.9,28,6,0.39,0.39,1,0,1.39,0,14.9,1468.9,39.3
Шв. гн. 280x60x6,28,6,0.6,0.6,1.4,0,2,0,22.4,2142.56,57.34
Шв. гн. 300x80x6,30,8,0.6,0.6,1.4,0,2,0,26,3072.29,134
Шв. гн. 310x100x6,31,10,0.6,0.6,1.4,0,2,0,29,3885.79,255.01
